brand_slug,name,location_type,region_label,address,url,evidence_url,source_type,source_chain,confidence,notes
yi-fan-canvas-bags,一帆布包 大甲本店,direct_store,臺中市,台中市大甲區育德路41號,https://www.ifft.com.tw/pages/contact,https://www.ifft.com.tw/pages/contact,official_website,official_website → contact_page → store,high,
buwu,BUWU 布物設計 大稻埕本店,direct_store,臺北市,臺北市大同區迪化街一段32巷2號2樓,https://buwudesign.format.com/shop-info,https://buwudesign.format.com/shop-info,official_website,official_website → shop_info,high,
nina-ho-illustration,FRAME 框物集選品店,stockist,臺中市,402001 臺中市南區復興路三段362號 探索館（台中文化創意產業園區－第五酒廠）,,https://www.ninahoillustration.com/pages/store-location,official_website,official_website → store_location,high,
eyeglad,EYEGLAD 台南展示間,showroom_studio,臺南市,台南市永康區中正南路314號1樓（7-11旁）,https://www.eyeglad.com.tw/pages/stores,https://www.eyeglad.com.tw/pages/stores,official_website,official_website → stores,high,
eyeglad,男子漢的浪,stockist,臺北市,台北市中正區羅斯福路一段85號2樓,,https://www.eyeglad.com.tw/pages/stores,official_website,official_website → stores,high,
darker-than-black-bags,DTB品牌專門店 - 南西新光1館,department_store_counter,臺北市,臺北市中山區南京西路12號3樓,,https://www.dtbbag.com/contact,official_website,official_website → contact → stockists,high,
darker-than-black-bags,DTB品牌專門店 - 信義新光A11,department_store_counter,臺北市,台北市松壽路11號2樓,,https://www.dtbbag.com/contact,official_website,official_website → contact → stockists,high,
darker-than-black-bags,wearPractice,stockist,臺北市,台北市中山區中山北路二段26巷22號,,https://www.dtbbag.com/contact,official_website,official_website → contact → stockists,high,
darker-than-black-bags,誠品綠園道 Living Project,stockist,臺中市,台中市西區公益路68號3F,,https://www.dtbbag.com/contact,official_website,official_website → contact → stockists,high,
darker-than-black-bags,誠品生活義享 Living Project,stockist,高雄市,高雄市鼓山區大順一路115號3F,,https://www.dtbbag.com/contact,official_website,official_website → contact → stockists,high,
mogu,蘑菇本店,direct_store,臺北市,台北市大同區南京西路25巷18號,https://www.instagram.com/mogu_tw/,https://www.instagram.com/mogu_tw/,instagram_bio,instagram_profile → bio → physical_address,high,
feity,FEITY創意皮製所,direct_store,臺南市,台南市南區聖南街17號,https://www.feity.com.tw/blog/posts,https://www.feity.com.tw/blog/posts,official_website,official_website → current_store_information,high,官方現行資訊標示週三至週日 09:00–17:00。
filter017,CREALIVE DEPT.台中店,direct_store,臺中市,40445 台中市北區三民路三段201巷10號,https://www.filter017.com/crealive,https://www.filter017.com/crealive,official_website,official_website → crealive → direct_store,high,
filter017,CREALIVE DEPT.高雄店,direct_store,高雄市,80044 高雄市新興區仁智街235號,https://www.filter017.com/crealive,https://www.filter017.com/crealive,official_website,official_website → crealive → direct_store,high,
filter017,Offset Studio,stockist,臺北市,台北市大同區赤峰街47巷10號,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,momoclothinglab,stockist,臺北市,台北市中山區民生東路二段96號,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,OUTDOORZ,stockist,臺北市,台北市大同區承德路三段30號,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,AMOUTER,stockist,臺北市,台北市大安區羅斯福路三段283巷7弄10號,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,PAL FILLER,stockist,臺北市,台北市中山區敬業三路20號 美麗華漾館1樓,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,WODEN(台北),stockist,臺北市,台北市大安區敦化南路一段161巷50號1樓A戶,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,Plain-Me 台北敦南門市,stockist,臺北市,台北市大安區敦化南路一段161巷18號,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,HOLA特力和樂 台北士林店,stockist,臺北市,台北市士林區基河路258號,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,HOLA特力和樂 台北內湖店,stockist,臺北市,台北市內湖區新湖三路23號B1,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,HandSlide,stockist,臺北市,台北市文山區興隆路一段251巷2弄1號,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,森3,stockist,臺北市,台北市中山區龍江路45巷18號1樓,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,WODEN台北松菸誠品,stockist,臺北市,台北市信義區菸廠路88號2樓R226,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,Plain-Me台北西門直營門市,stockist,臺北市,台北市萬華區昆明街96巷26號,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,Plain-Me台北南西誠品,stockist,臺北市,台北市中山區南京西路14號3樓,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
filter017,CampingBar Plus,stockist,新北市,新北市新店區民權路42巷59弄1號7樓,,https://www.filter017.com/crealive,official_website,official_website → crealive → retailers_in_taiwan,high,
